satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
1,1,56,1,0,2456,0,5,1,5,4,1,4,4,5,5,5,5,5,4,0,0.0
0,1,48,1,1,1201,1,0,0,1,5,0,5,5,5,5,4,4,5,5,0,0.0
1,1,8,1,1,2364,0,0,0,2,2,4,2,3,3,0,3,5,3,2,0,0.0
1,1,28,1,0,2187,0,0,0,3,2,0,2,2,3,3,4,4,4,2,0,0.0
1,1,34,1,0,1693,0,0,0,3,3,4,3,1,1,0,1,4,1,3,0,0.0
0,1,30,1,0,1582,1,0,0,3,1,0,1,1,2,4,3,5,1,1,0,2.0
1,1,44,1,0,51,0,0,0,3,4,3,4,2,2,0,2,4,2,5,0,4.0
1,1,50,1,0,1248,0,0,0,3,2,5,5,5,5,0,5,5,5,3,1,3.0
1,1,68,1,1,1117,0,0,0,3,3,3,3,3,3,0,1,2,3,5,0,0.0
0,1,19,1,0,1737,1,0,0,4,1,0,1,1,4,4,5,3,5,1,0,0.0
0,1,13,1,0,1351,1,0,0,4,5,0,5,5,5,2,5,4,4,5,4,2.0
0,1,31,1,0,1109,1,0,0,4,4,0,4,4,3,3,4,3,4,4,0,0.0
1,1,33,1,0,3560,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0.0
0,1,60,1,0,3434,1,0,1,1,2,1,2,2,3,3,4,3,4,2,14,11.0
1,1,46,1,1,1218,0,1,0,1,5,2,1,5,5,0,5,2,5,2,0,0.0
1,1,35,1,0,2393,0,1,0,2,1,2,2,1,1,0,1,2,1,3,0,9.0
0,1,70,1,0,2193,1,0,1,1,4,1,4,4,4,2,5,5,4,4,38,32.0
0,1,25,1,0,2356,1,0,1,1,1,1,5,1,5,4,5,3,4,1,0,13.0
0,1,47,1,0,2421,1,0,1,1,4,1,4,4,3,4,4,5,4,4,0,0.0
0,1,24,1,0,1802,1,0,1,1,4,1,4,4,5,5,4,5,4,4,0,0.0
1,1,24,1,0,1808,0,1,0,2,0,1,1,2,1,1,2,1,3,1,23,90.0
1,1,9,1,0,1476,0,1,0,2,3,0,3,3,2,5,2,3,2,3,0,0.0
1,1,64,1,0,530,0,1,0,3,2,0,2,2,2,2,2,2,3,2,15,3.0
1,1,21,1,2,1218,0,1,0,3,2,0,2,2,2,3,3,4,3,2,0,12.0
0,1,29,1,0,1565,1,0,1,1,5,1,5,5,5,3,5,5,5,5,0,0.0
1,1,25,1,1,1707,0,1,0,3,4,0,3,4,1,2,3,1,4,4,33,35.0
0,1,47,1,2,365,1,0,1,1,4,4,5,3,3,1,3,3,3,4,0,0.0
1,1,20,1,0,1869,0,1,0,3,4,0,4,4,4,3,3,1,4,4,0,0.0
0,1,39,1,0,955,1,0,1,1,1,1,4,1,4,3,4,5,5,1,12,0.0
1,1,34,1,0,1152,0,1,0,3,3,0,3,3,2,1,2,2,3,3,0,0.0
1,1,9,1,0,1534,0,1,0,3,4,3,4,2,2,0,2,4,2,1,0,11.0
1,1,27,1,0,1232,0,1,0,3,2,0,2,2,4,2,3,3,3,2,0,0.0
1,1,69,1,0,262,0,1,0,3,2,0,2,2,2,2,3,1,3,2,0,0.0
1,1,26,1,0,1062,0,1,0,3,3,0,3,3,2,2,4,3,4,3,0,0.0
1,1,42,1,0,145,0,1,0,3,2,0,2,2,3,4,3,2,3,2,3,0.0
1,1,57,1,0,72,0,1,0,3,3,0,3,3,1,2,3,2,3,3,17,13.0
0,1,48,1,1,1518,1,0,1,1,5,1,5,5,3,3,3,4,4,5,0,0.0
0,1,40,1,0,1098,1,0,1,1,1,1,1,1,4,5,5,4,4,1,0,1.0
1,1,27,1,1,3557,0,1,0,3,5,4,3,3,3,0,3,4,3,4,0,0.0
1,1,26,1,2,3562,0,1,0,4,4,0,4,4,2,1,3,3,4,4,0,0.0
1,1,43,1,2,2002,0,1,0,4,1,0,1,1,3,1,4,2,4,1,0,0.0
0,1,18,1,2,3046,1,0,1,2,3,1,2,3,4,5,5,5,5,3,13,15.0
0,1,26,1,0,3345,1,0,1,2,1,1,1,1,3,2,5,5,5,1,0,3.0
1,1,45,1,0,1256,0,1,0,4,5,0,5,5,3,1,4,2,4,5,32,18.0
1,1,16,1,0,2280,0,1,0,4,4,3,3,3,3,0,3,1,3,1,0,0.0
1,1,52,1,0,1122,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,2.0
1,1,57,1,0,1025,0,1,0,4,5,0,4,5,4,2,3,2,4,5,45,57.0
1,1,63,1,0,893,0,1,1,2,2,1,2,2,3,5,3,4,2,2,0,0.0
0,1,36,1,0,1998,1,0,1,2,5,1,5,5,4,5,5,1,5,5,32,12.0
0,1,29,1,0,2172,1,0,1,2,4,1,4,4,2,2,3,3,5,4,0,0.0
0,1,35,1,1,2095,1,0,1,2,3,1,1,3,4,2,5,4,5,3,0,0.0
1,1,12,1,0,2327,0,1,1,3,2,1,2,2,3,2,2,1,2,2,0,0.0
0,1,42,1,0,1530,1,0,1,2,1,1,1,1,3,5,5,3,5,1,0,0.0
1,1,10,1,0,2129,0,2,0,1,5,0,5,5,3,3,5,5,5,5,24,2.0
0,1,46,1,0,1672,1,0,1,2,2,1,2,2,4,3,5,3,4,2,0,18.0
0,1,68,1,0,2226,1,0,1,2,2,1,2,2,4,1,4,2,1,2,0,1.0
0,1,61,1,0,1856,1,0,1,2,4,1,4,4,4,3,4,4,4,4,0,0.0
1,1,10,1,0,2141,0,2,0,2,2,0,2,2,2,5,1,4,1,2,0,0.0
1,1,70,1,0,367,0,2,0,2,2,0,3,2,1,1,1,2,3,2,21,12.0
0,1,26,1,0,1705,1,0,1,2,4,1,5,4,5,4,5,4,4,4,17,10.0
1,1,46,1,0,264,0,2,0,3,2,0,2,2,4,3,3,1,4,2,0,0.0
1,1,34,1,0,1199,0,2,0,3,0,3,3,1,2,4,4,3,2,3,21,25.0
0,1,20,1,0,1908,1,0,1,2,1,5,5,5,2,5,5,5,3,5,244,236.0
0,1,58,1,0,1657,1,0,1,2,1,1,1,1,4,4,5,3,5,1,0,0.0
1,1,65,1,0,50,0,2,0,3,5,2,5,5,3,1,3,2,4,5,0,0.0
0,1,64,1,0,1206,1,0,1,2,1,1,1,1,3,2,5,4,4,1,13,9.0
0,1,9,1,0,1713,1,0,1,2,5,1,5,5,3,1,5,5,3,5,9,14.0
1,1,67,1,0,2845,0,2,0,3,3,3,3,4,4,0,4,4,4,1,0,0.0
1,1,27,1,0,3492,0,2,0,3,1,0,1,1,1,1,2,3,3,1,0,0.0
0,1,69,1,0,3863,1,0,1,3,1,1,1,1,4,2,4,3,5,1,2,0.0
1,1,44,1,0,2376,0,2,0,3,3,3,3,4,4,0,4,1,4,1,0,9.0
1,1,17,1,0,3151,0,2,0,3,3,0,4,3,2,1,4,4,4,3,0,13.0
0,1,48,1,0,2905,1,0,1,3,5,1,5,5,5,5,4,4,4,5,4,0.0
0,1,54,1,1,2896,1,0,1,3,4,1,4,4,1,5,2,4,4,4,0,0.0
0,1,19,1,0,2897,1,0,1,3,1,1,1,1,2,3,4,2,4,1,1,0.0
1,1,47,1,2,1668,0,2,0,3,1,2,3,3,3,0,3,1,3,2,16,0.0
1,1,55,1,2,1662,0,2,0,3,4,5,5,2,2,0,2,4,2,3,3,2.0
0,1,61,1,0,2998,1,0,1,3,2,1,2,2,4,4,4,3,4,2,9,1.0
1,1,47,1,0,1218,0,2,0,3,5,0,2,5,3,2,4,3,3,5,0,0.0
0,1,63,1,0,2843,1,0,1,3,4,1,4,4,3,4,5,4,4,4,0,7.0
0,1,59,1,0,2804,1,0,1,3,4,1,4,4,4,2,5,3,4,4,0,0.0
0,1,67,1,0,2955,1,0,1,3,4,1,4,4,5,2,5,3,5,4,0,0.0
0,1,33,1,0,2353,1,0,1,3,5,1,5,5,5,2,5,5,4,5,122,112.0
1,1,40,1,0,2415,0,2,0,3,3,4,3,1,1,0,1,3,1,1,0,0.0
1,1,63,1,0,888,0,2,0,3,3,0,3,3,3,5,4,4,4,3,0,3.0
1,1,31,1,0,1956,0,2,0,3,4,0,4,4,2,5,4,3,3,4,5,0.0
0,1,19,1,0,2407,1,0,1,3,4,1,4,4,3,4,4,3,5,4,57,65.0
1,1,64,1,0,889,0,2,0,3,5,0,5,5,2,5,4,1,4,5,95,93.0
0,1,39,1,0,2148,1,0,1,3,1,1,2,1,4,5,5,5,5,1,0,0.0
0,1,59,1,1,2782,1,0,1,3,1,4,3,2,5,3,3,3,2,3,293,302.0
1,1,21,1,0,1900,0,2,0,3,5,2,3,1,1,0,1,4,1,4,0,0.0
0,1,57,1,0,2287,1,0,1,3,1,1,1,1,1,1,5,2,5,1,44,34.0
1,1,66,1,0,763,0,2,0,3,1,3,4,2,2,0,2,1,2,1,0,20.0
0,1,44,1,0,1825,1,0,1,3,2,1,1,2,3,1,3,3,2,2,0,0.0
0,1,25,1,0,1814,1,0,1,3,4,1,4,4,1,2,3,5,1,4,122,124.0
1,1,68,1,0,578,0,2,0,3,1,0,1,1,2,1,3,1,3,1,15,33.0
1,1,57,1,0,575,0,2,0,4,5,0,5,5,4,1,4,2,3,5,0,0.0
0,1,67,1,0,1815,1,0,1,3,3,1,3,3,5,4,5,1,3,3,0,0.0
0,1,46,1,2,465,1,0,1,3,4,5,4,2,2,1,2,5,2,5,0,0.0
0,1,38,1,0,2371,1,0,1,3,1,4,4,3,2,5,5,4,5,4,184,195.0
1,1,55,1,0,386,0,2,0,4,1,2,4,3,3,2,3,2,3,2,30,25.0
1,1,12,1,0,1942,0,2,0,4,3,0,3,3,1,3,4,4,3,3,0,0.0
0,1,56,1,0,1980,1,0,1,3,5,1,5,5,3,5,5,5,4,5,12,9.0
1,1,36,1,1,1839,0,2,0,4,3,3,4,5,5,0,5,2,5,2,0,0.0
0,1,33,1,0,1311,1,0,1,3,4,1,4,4,1,1,2,5,1,4,0,2.0
0,1,59,1,2,315,1,0,1,3,5,4,4,5,5,1,5,4,5,3,0,0.0
0,1,44,1,0,2056,1,0,1,3,1,1,5,3,5,4,4,5,3,5,186,175.0
1,1,67,1,0,243,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,0.0
1,1,19,1,2,1664,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0.0
0,1,31,1,1,1875,1,0,1,3,1,4,5,3,4,4,4,5,3,5,145,136.0
0,1,48,1,0,1996,1,0,1,3,4,1,4,4,4,2,5,3,5,4,0,0.0
0,1,11,1,0,1829,1,0,1,3,2,1,2,2,4,4,5,5,5,2,0,37.0
0,1,31,1,1,1096,1,0,1,3,4,1,4,4,5,3,5,4,4,4,101,97.0
0,1,33,1,0,2112,1,0,1,3,1,1,1,3,1,5,3,1,3,1,165,179.0
0,1,56,1,2,57,1,0,1,3,4,4,5,3,3,1,3,3,3,4,5,2.0
1,1,17,1,0,1892,0,2,0,4,5,4,4,4,4,0,4,4,4,3,0,0.0
1,1,46,1,0,53,0,2,0,4,4,0,4,4,3,1,4,3,3,4,0,0.0
0,1,15,1,0,1696,1,0,1,3,5,1,2,5,4,2,5,3,5,5,0,0.0
0,1,34,1,0,3710,1,0,1,4,4,1,4,4,2,5,3,3,3,4,0,0.0
1,1,52,1,2,2486,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,6.0
0,1,31,1,0,3411,1,0,1,4,2,1,2,2,4,1,4,5,5,2,2,0.0
0,1,55,1,2,2439,1,0,1,4,2,5,4,2,2,1,2,3,2,3,60,106.0
0,1,22,1,0,3357,1,0,1,4,2,1,2,2,2,4,3,1,3,2,68,78.0
1,1,39,1,0,3162,0,2,0,4,5,0,5,5,2,1,3,1,3,5,26,19.0
0,1,9,1,0,2751,1,0,1,4,5,1,5,5,4,4,5,4,5,5,0,0.0
0,1,41,1,0,2773,1,0,1,4,2,1,2,2,2,3,5,2,4,2,0,0.0
1,1,30,1,0,2686,0,3,0,2,4,0,4,4,2,1,3,1,3,4,3,0.0
0,1,56,1,0,2355,1,0,1,4,2,1,4,2,5,4,5,5,4,2,0,0.0
0,1,40,1,0,2248,1,0,1,4,5,1,4,5,3,5,4,2,2,5,0,3.0
1,1,42,1,1,1030,0,3,0,2,2,0,2,2,3,3,3,2,3,2,0,0.0
0,1,63,1,0,2612,1,0,1,4,5,1,5,5,4,2,5,3,4,5,1,0.0
1,1,15,1,1,2258,0,3,0,2,2,3,5,2,2,0,2,1,2,4,0,3.0
0,1,15,1,0,2260,1,0,1,4,4,1,4,4,3,4,2,3,1,4,0,0.0
0,1,14,1,0,1752,1,0,1,4,4,1,4,4,1,3,3,1,1,4,0,0.0
1,1,36,1,0,2139,0,3,0,2,3,2,2,5,5,0,5,1,5,3,0,3.0
0,1,30,1,1,2042,1,0,1,4,1,1,1,1,4,3,4,4,3,1,0,0.0
1,1,49,1,0,819,0,3,0,2,1,0,1,1,2,2,5,1,2,1,0,0.0
1,1,15,1,1,1973,0,3,0,3,5,5,5,5,5,0,5,3,5,3,3,0.0
0,1,14,1,0,1956,1,0,1,4,4,1,4,4,5,4,4,4,5,4,39,37.0
1,1,65,1,0,575,0,3,0,3,5,3,4,4,4,0,4,3,4,3,14,18.0
0,1,52,1,0,1460,1,0,1,4,2,1,2,2,3,2,5,3,4,2,0,0.0
0,1,56,1,0,2293,1,0,1,4,4,1,4,4,3,4,5,5,4,4,0,0.0
0,1,67,1,0,2255,1,0,1,4,5,1,5,5,4,2,5,3,4,5,1,1.0
0,1,34,1,0,2034,1,0,1,4,4,1,5,4,5,4,5,3,4,4,0,0.0
1,1,11,1,1,2003,0,3,0,3,2,3,2,4,4,0,4,4,4,5,0,0.0
1,1,56,1,0,433,0,3,0,3,5,0,5,5,3,2,3,3,3,5,98,104.0
1,1,13,1,0,1899,0,3,0,3,4,1,3,4,4,0,4,3,4,3,0,0.0
1,1,7,1,0,2160,0,3,0,3,2,0,2,2,4,5,3,1,4,2,38,32.0
1,1,38,1,0,2178,0,3,0,3,5,0,5,5,1,3,4,3,2,5,19,17.0
0,1,50,1,0,1922,1,0,1,4,4,1,4,4,5,4,5,4,4,4,19,29.0
0,1,52,1,0,1265,1,0,1,4,4,1,4,4,5,5,5,5,4,4,0,0.0
1,1,70,1,0,307,0,3,0,4,5,4,1,5,5,0,5,5,5,3,0,0.0
1,1,36,1,1,1922,0,3,0,4,3,1,4,1,1,0,1,3,1,3,0,0.0
1,1,66,1,0,220,0,3,0,4,3,0,3,3,4,3,4,3,4,3,0,0.0
0,1,18,1,1,1639,1,0,1,4,2,1,2,2,1,2,4,1,4,2,3,25.0
1,1,8,1,2,1375,0,3,0,4,5,0,5,5,4,2,1,2,5,5,0,10.0
1,1,10,1,0,1187,0,3,0,5,3,0,3,3,5,3,1,1,5,3,6,1.0
1,1,41,1,0,1476,0,3,0,5,2,0,2,2,2,5,3,4,2,2,0,10.0
0,1,50,1,0,2936,1,0,1,5,3,1,3,3,4,3,3,1,3,3,1,4.0
0,1,11,1,0,2983,1,0,1,5,4,1,3,4,3,5,5,3,4,4,0,0.0
0,1,21,1,0,3295,1,0,1,5,5,1,5,5,3,3,4,5,5,5,0,29.0
1,1,38,1,0,2218,0,3,1,3,1,1,1,1,1,1,5,5,1,2,0,0.0
1,1,63,1,1,1142,0,4,0,1,0,4,4,3,5,3,5,4,4,4,0,24.0
0,1,22,1,0,2307,1,0,1,5,1,1,1,1,3,5,4,3,4,1,0,0.0
1,1,64,1,0,587,0,4,0,1,3,5,4,1,1,0,1,5,1,3,4,0.0
1,1,31,1,0,1380,0,4,0,1,3,4,4,1,1,0,1,4,1,3,12,21.0
1,1,65,1,0,473,0,4,0,1,5,0,5,5,4,3,4,4,4,5,46,56.0
0,1,49,1,0,1810,1,0,1,5,1,1,1,1,3,2,5,3,5,1,0,2.0
1,1,22,1,0,1784,0,4,0,1,5,5,5,4,4,0,4,4,4,4,5,0.0
0,1,24,1,0,1496,1,0,1,5,1,1,1,1,1,4,4,5,1,1,9,10.0
0,1,18,1,0,1592,1,0,1,5,2,1,4,2,5,4,5,3,5,2,0,1.0
0,1,31,1,2,1343,1,0,1,5,4,1,4,4,5,5,1,1,3,4,0,0.0
1,1,56,1,0,263,0,4,0,1,3,4,4,2,2,0,2,5,2,3,0,3.0
1,1,12,1,0,1724,0,4,0,1,3,0,3,3,5,2,5,5,4,3,0,0.0
0,1,58,1,0,1013,1,0,1,5,3,1,3,3,5,4,4,5,5,3,6,4.0
0,1,44,1,2,2051,1,0,1,5,1,5,5,4,2,5,5,5,5,5,83,142.0
0,1,28,1,0,1171,1,0,2,1,3,2,3,3,3,4,5,5,5,3,25,27.0
1,1,29,1,0,2206,0,4,0,1,2,0,2,2,5,3,5,3,5,2,19,36.0
1,1,68,1,0,572,0,4,0,1,1,0,1,1,3,4,4,3,5,1,0,3.0
0,1,23,1,0,3839,1,0,2,3,2,2,2,4,1,3,5,2,4,2,0,0.0
0,1,31,1,0,1850,1,0,2,3,5,2,5,5,3,3,4,4,5,5,0,0.0
1,1,16,1,0,2964,0,4,0,1,4,3,5,1,1,0,1,1,1,5,1,0.0
0,1,57,1,0,1595,1,0,2,4,4,2,4,4,5,2,5,3,4,4,0,0.0
1,1,35,1,0,2575,0,4,0,1,2,5,5,1,1,0,1,3,1,4,0,0.0
0,1,53,1,0,1961,1,0,2,5,1,2,1,1,4,4,4,4,5,1,10,0.0
0,1,22,1,0,1453,1,0,3,2,3,3,3,3,3,5,5,4,5,3,0,0.0
0,1,66,1,0,1190,1,0,3,2,3,3,3,3,5,5,4,5,5,3,0,0.0
0,1,10,1,1,1168,1,0,4,5,2,4,2,2,4,3,5,5,5,2,0,0.0
1,1,57,1,0,302,0,4,0,1,1,0,1,1,4,3,4,3,4,1,0,5.0
0,1,59,1,0,1918,1,0,5,3,5,5,5,5,2,2,2,3,1,5,0,0.0
0,1,69,1,0,3860,1,1,0,1,4,0,4,4,2,3,1,1,2,4,1,0.0
0,1,28,1,0,2017,1,1,0,1,2,0,2,2,1,2,1,4,2,2,0,0.0
1,1,70,1,1,77,0,4,0,1,5,5,4,4,4,0,5,3,4,4,0,0.0
0,1,27,1,0,1648,1,1,0,1,5,0,2,5,2,1,1,1,1,5,9,17.0
1,1,49,1,1,2438,0,4,0,2,4,3,5,5,5,0,5,3,5,5,0,0.0
0,1,34,1,0,2511,1,1,0,2,4,0,4,4,2,1,2,1,2,4,37,23.0
0,1,40,1,0,3132,1,1,0,2,0,4,4,3,4,3,2,4,4,4,205,210.0
1,1,43,1,0,1231,0,4,0,2,3,4,1,2,2,0,2,5,2,2,0,0.0
1,1,54,1,0,1216,0,4,0,2,4,0,4,4,4,2,5,5,5,4,0,1.0
0,1,40,1,0,2316,1,1,0,2,3,0,3,3,2,2,2,1,2,3,62,63.0
0,1,56,1,2,617,1,1,0,2,5,1,2,4,4,0,4,4,4,4,17,4.0
1,1,30,1,0,1465,0,4,0,2,5,0,5,5,2,1,3,3,2,5,0,0.0
1,1,13,1,0,1603,0,4,0,2,3,0,1,3,3,2,5,3,5,3,0,6.0
1,1,27,1,1,3482,0,4,0,2,1,0,1,1,3,5,4,5,5,1,6,0.0
0,1,23,1,0,2267,1,1,0,3,4,0,4,4,1,2,2,3,3,4,46,59.0
0,1,21,1,1,2736,1,1,0,3,4,0,4,4,2,4,4,1,3,4,0,0.0
0,1,58,1,0,2968,1,1,0,3,5,0,5,5,3,4,4,3,3,5,9,22.0
0,1,46,1,0,2642,1,1,0,3,3,0,3,3,3,4,4,1,3,3,0,0.0
1,1,43,1,1,1107,0,4,0,2,5,4,5,5,5,0,1,3,5,5,0,0.0
1,1,52,1,2,1139,0,4,0,2,5,0,5,5,3,5,4,4,5,5,96,127.0
1,1,47,1,0,981,0,4,0,2,5,5,4,2,2,4,2,3,2,3,0,0.0
1,1,8,1,0,1855,0,4,0,2,5,5,4,2,2,0,3,3,2,3,0,4.0
1,1,47,1,0,916,0,4,0,2,5,4,5,2,2,0,2,4,2,5,0,0.0
1,1,70,1,0,786,0,4,0,2,5,4,4,4,4,0,4,5,4,3,1,0.0
0,1,58,1,0,2087,1,1,0,3,2,0,2,2,4,2,2,3,3,2,66,87.0
0,1,42,1,0,1823,1,1,0,3,1,0,1,1,1,2,3,4,4,1,0,5.0
0,1,21,1,0,1606,1,1,0,3,2,0,2,2,4,1,3,1,4,2,54,48.0
0,1,39,1,0,1446,1,1,0,3,5,0,5,5,4,2,3,2,2,5,0,5.0
1,1,22,1,2,1939,0,4,0,3,2,0,2,2,3,3,4,1,4,2,0,0.0
0,1,13,1,1,2148,1,1,0,3,1,0,1,1,3,2,2,3,3,1,2,1.0
1,1,15,1,0,1061,0,4,0,3,1,0,1,1,3,5,4,5,4,1,16,6.0
0,1,63,1,0,1332,1,1,0,3,5,0,5,5,1,4,2,1,2,5,0,0.0
0,1,57,1,0,1937,1,1,0,3,5,0,3,5,4,3,3,2,3,5,0,26.0
1,1,42,1,0,55,0,4,0,3,4,0,3,4,2,3,3,2,3,4,0,6.0
1,1,51,1,0,116,0,4,0,3,5,3,3,4,4,0,4,1,4,2,0,0.0
0,1,47,1,0,1891,1,1,0,3,1,0,1,1,2,3,4,4,3,1,0,3.0
1,1,13,1,0,4023,0,4,0,3,3,5,4,1,1,0,1,4,1,5,0,0.0
0,1,35,1,0,3533,1,1,0,4,2,0,2,2,2,3,3,4,4,2,0,0.0
0,1,21,1,0,3050,1,1,0,4,5,0,5,5,4,1,4,2,4,5,40,12.0
1,1,59,1,0,1499,0,4,0,3,3,4,5,2,2,0,2,4,2,4,83,90.0
0,1,28,1,0,1892,1,1,0,4,5,0,5,5,4,2,4,4,3,5,0,0.0
0,1,9,1,0,2643,1,1,0,4,4,0,4,4,4,4,4,1,3,4,15,8.0
1,1,31,1,0,2798,0,4,0,3,1,0,1,1,2,1,4,5,1,1,0,0.0
0,1,65,1,0,1979,1,1,0,4,2,0,2,2,4,5,3,3,3,2,0,0.0
0,1,12,1,0,1931,1,1,0,4,4,0,2,4,1,5,3,3,4,4,5,11.0
1,1,43,1,0,684,0,4,0,3,4,0,4,4,4,3,1,2,5,4,0,1.0
1,1,54,1,0,377,0,4,0,3,5,5,4,1,1,0,1,3,1,3,5,5.0
1,1,17,1,0,1512,0,4,0,3,1,4,1,1,3,2,5,3,5,1,0,0.0
0,1,49,1,0,1593,1,1,0,4,4,0,4,4,2,2,3,3,4,4,0,0.0
1,1,70,1,0,56,0,4,0,3,4,4,4,1,1,0,3,4,1,5,0,0.0
1,1,43,1,0,87,0,4,0,3,4,0,4,4,4,4,5,4,4,4,0,0.0
1,1,42,1,0,2549,0,4,0,3,5,0,5,5,5,3,5,5,5,5,18,0.0
0,1,48,1,0,4001,1,1,1,1,1,1,1,1,4,1,1,4,2,1,16,0.0
0,1,48,1,0,3980,1,1,1,1,4,1,4,4,2,3,2,3,2,4,0,0.0
1,1,53,1,0,1581,0,4,0,3,4,5,5,4,4,0,4,4,4,4,0,24.0
1,1,9,1,0,2405,0,4,0,3,4,0,4,4,2,4,4,2,4,4,0,0.0
0,1,40,1,0,2251,1,1,1,1,1,1,1,1,3,3,2,1,1,1,0,8.0
1,1,23,1,0,2444,0,4,0,3,2,0,2,2,3,1,3,5,5,2,30,27.0
0,1,46,1,0,2453,1,1,1,1,3,1,5,3,1,4,1,2,2,3,3,15.0
0,1,63,1,0,2011,1,1,1,1,5,1,5,5,1,5,2,1,2,5,25,25.0
1,1,11,1,0,1984,0,4,0,3,3,0,3,3,4,2,5,3,5,3,16,3.0
1,1,50,1,0,931,0,4,0,3,3,0,3,3,4,5,5,5,4,3,0,3.0
0,1,28,1,0,1965,1,1,1,1,5,1,5,5,3,2,1,3,2,5,10,7.0
1,1,38,1,0,2036,0,4,0,3,2,0,2,2,4,2,5,5,5,2,70,54.0
0,1,41,1,0,2471,1,1,1,1,5,1,5,5,2,1,2,3,2,5,0,0.0
0,1,13,1,0,1647,1,1,1,1,3,1,3,3,3,4,1,2,1,3,39,18.0
0,1,29,1,0,2214,1,1,1,1,4,1,3,4,3,2,2,2,1,4,0,0.0
0,1,45,1,0,2172,1,1,1,1,2,1,2,2,1,5,1,1,2,2,6,3.0
0,1,47,1,0,2036,1,1,1,1,4,1,4,4,4,3,2,2,2,4,0,0.0
0,1,60,1,2,326,1,1,1,1,4,1,2,4,4,1,4,3,4,2,2,0.0
1,1,45,1,2,336,0,4,0,3,4,4,4,1,1,0,1,3,1,3,31,45.0
0,1,49,1,0,1785,1,1,1,1,5,1,5,5,3,2,2,3,2,5,1,0.0
1,1,33,1,0,1926,0,4,0,3,2,0,2,2,2,4,1,3,3,2,0,0.0
0,1,23,1,0,2135,1,1,1,1,1,3,4,3,4,2,1,4,1,4,265,245.0
0,1,33,1,1,949,1,1,1,1,4,1,4,4,1,1,1,3,1,4,23,42.0
1,1,31,1,0,2074,0,4,0,3,4,0,4,4,2,1,2,3,3,4,5,0.0
1,1,41,1,0,1287,0,4,0,3,1,0,1,1,3,5,4,3,4,1,0,18.0
0,1,54,1,1,4088,1,1,1,2,2,1,2,2,3,4,2,4,2,2,16,0.0
